,id,has_verified_cb_profile,cb_hq
0,604f898da8ff6195bc26d992,no,
1,604f9917a8ff6195bc26da46,no,
2,602f9b7b7ba8308c59e0f51b,yes," Melbourne, Victoria, Australia"
3,604f7322a8ff6195bc26d86f,no,
4,604f838fa8ff6195bc26d943,no,
5,604f8926a8ff6195bc26d98c,no,
6,604fa8075080c72c8450402d,no,
7,604f86bba8ff6195bc26d973,no,
8,604f92b0a8ff6195bc26d9f3,no,
9,604f9390a8ff6195bc26da00,no,
10,60420760a63926c168451567,no,
11,602cc22c4512a34739136411,no,
12,604f75fda8ff6195bc26d88d,no,
13,604f77c4a8ff6195bc26d8a1,no,
14,602aa10d1a03b37ed3a71dd6,no,
15,604fa4c55080c72c84504003,no,
16,604f776ca8ff6195bc26d89d,no,
17,604f7a43a8ff6195bc26d8c8,no,
18,604f7ad1a8ff6195bc26d8d0,no,
19,604f7b96a8ff6195bc26d8dc,no,
20,604f963ba8ff6195bc26da21,yes," Christchurch, Canterbury, New Zealand"
21,604fac095080c72c8450405d,no,
22,604f93eba8ff6195bc26da04,no,
23,604f89e5a8ff6195bc26d996,no,
24,604fae7a5080c72c8450407f,no,
25,604f76cfa8ff6195bc26d895,yes," Wellington, Wellington, New Zealand"
26,604f7906a8ff6195bc26d8b5,no,
27,6041d54fa63926c168451454,no,
28,604f9020a8ff6195bc26d9da,no,
29,604fadf25080c72c84504079,yes," Melbourne, Victoria, Australia"
30,604f977ca8ff6195bc26da33,no,
31,604f8caba8ff6195bc26d9b8,yes," Sydney, New South Wales, Australia"
32,604fa1fd5080c72c84503fe0,no,
33,604fa2bf5080c72c84503feb,no,
34,604f9133a8ff6195bc26d9e4,no,
35,604f9a78a8ff6195bc26da59,no,
36,604f9504a8ff6195bc26da10,no,
37,604f7ee5a8ff6195bc26d907,no,
38,604f8a92a8ff6195bc26d99f,no,
39,604f804fa8ff6195bc26d919,no,
40,604f8e1ba8ff6195bc26d9c6,no,
41,604f9c92a8ff6195bc26da73,no,
42,604faed95080c72c84504084,no,
43,604fafaf5080c72c8450408d,no,
44,602f18ca7ba8308c59e0f239,no,
45,604f7872a8ff6195bc26d8ad,yes," Eight Mile Plains, Queensland, Australia"
46,602ab05a1a03b37ed3a71e49,yes," Melbourne, Victoria, Australia"
47,604f8553a8ff6195bc26d961,no,
48,604f8408a8ff6195bc26d94b,yes," Auckland, Auckland, New Zealand"
49,604fb1d25080c72c845040a7,no,
50,604f8739a8ff6195bc26d978,no,
51,604f808ea8ff6195bc26d91d,no,
52,604f7940a8ff6195bc26d8b9,no,
53,604f72dba8ff6195bc26d86b,yes," Palmerston North, Wellington, New Zealand"
54,604fb8935080c72c845040ea,no,
55,604f92f0a8ff6195bc26d9f7,no,
56,604f9b94a8ff6195bc26da68,no,
57,604fa0e45080c72c84503fd4,no,
58,604f74a1a8ff6195bc26d87f,no,
59,604f9674a8ff6195bc26da25,yes," Pilton, Queensland, Australia"
60,604fb2ac5080c72c845040b3,no,
61,604f729ca8ff6195bc26d867,no,
62,604f85eca8ff6195bc26d96a,no,
63,604fa84c5080c72c84504032,no,
64,6041b2a5a63926c168451374,no,
65,604f8629a8ff6195bc26d96e,no,
66,602a991e1a03b37ed3a71d96,no,
67,604fa5295080c72c84504009,yes," Sydney, New South Wales, Australia"
68,604f4093a8ff6195bc26d52d,yes," Australia, Isabela, Philippines"
69,604fb6885080c72c845040d6,no,
70,604f9439a8ff6195bc26da09,no,
71,602a9b671a03b37ed3a71da8,yes," Sydney, New South Wales, Australia"
72,604f724ea8ff6195bc26d863,no,
73,604f7db9a8ff6195bc26d8fc,no,
74,602ab5221a03b37ed3a71e66,no,
75,604fa34c5080c72c84503ff1,yes," Brisbane, Queensland, Australia"
76,604f9b32a8ff6195bc26da64,no,
77,604f7684a8ff6195bc26d891,no,
78,604f8a23a8ff6195bc26d99a,no,
79,604f7ff6a8ff6195bc26d915,yes," Auckland, Auckland, New Zealand"
80,604fb5b25080c72c845040cd,no,
81,6041c80ba63926c168451408,no,
82,604f7bd6a8ff6195bc26d8e0,no,
83,602ab9191a03b37ed3a71e7b,yes," Wellington, Wellington, New Zealand"
84,604fe0925080c72c84504334,no,
85,604f8be4a8ff6195bc26d9af,no,
86,604fad1f5080c72c8450406b,yes," Barwite, Victoria, Australia"
87,604f78bfa8ff6195bc26d8b1,no,
88,604f8fd5a8ff6195bc26d9d6,yes," Oakleigh, Victoria, Australia"
89,604f8788a8ff6195bc26d97c,yes," Brisbane, Queensland, Australia"
90,604f933ba8ff6195bc26d9fc,no,
91,604f9d45a8ff6195bc26da7c,no,
92,604f95d3a8ff6195bc26da1b,no,
93,604f9729a8ff6195bc26da2f,no,
94,604f82bba8ff6195bc26d936,no,
95,602f95e97ba8308c59e0f4fd,yes," Southbank, Victoria, Australia"
96,604f8470a8ff6195bc26d953,yes," Auckland, Auckland, New Zealand"
97,604fb22a5080c72c845040ac,no,
98,604f7f82a8ff6195bc26d90f,no,
99,604fb5745080c72c845040c9,no,
100,604fad5e5080c72c8450406f,yes," Lower Hutt, Wellington, New Zealand"
101,604f8341a8ff6195bc26d93f,no,
102,604fa7755080c72c84504027,no,
103,604f7c2ea8ff6195bc26d8e4,no,
104,604f7f2ba8ff6195bc26d90b,no,
105,604fadba5080c72c84504075,no,
106,604fa1bb5080c72c84503fdc,yes," Sydney, New South Wales, Australia"
107,604f84c8a8ff6195bc26d958,no,
108,604f850da8ff6195bc26d95d,yes," Hamilton, Waikato, New Zealand"
109,604fb1945080c72c845040a3,no,
110,604f7833a8ff6195bc26d8a9,no,
111,604f88caa8ff6195bc26d987,no,
112,604f81c2a8ff6195bc26d92a,no,
113,604faa685080c72c84504047,no,
114,604f83e3a8ff6195bc26d947,no,
115,604f735da8ff6195bc26d873,no,
116,604fa6835080c72c8450401e,no,
117,604f73e9a8ff6195bc26d87b,no,
118,602e4c9fa4a518be2f97bee7,yes," Sydney, New South Wales, Australia"
119,604fa5835080c72c8450400e,no,
120,602a9f981a03b37ed3a71dca,no,
121,604f7b57a8ff6195bc26d8d8,no,
122,604f8dc7a8ff6195bc26d9c1,no,
123,604f9cf0a8ff6195bc26da78,no,
124,604fa25b5080c72c84503fe5,no,
125,602b08211a03b37ed3a72045,no,
126,602aa7e91a03b37ed3a71e0c,no,
127,604fb4985080c72c845040bf,no,
128,602f21237ba8308c59e0f26c,no,
129,604f8f47a8ff6195bc26d9cf,yes," Sydney, New South Wales, Australia"
130,604fa04d5080c72c84503fd0,no,
131,604f74fda8ff6195bc26d883,no,
132,604f9ae4a8ff6195bc26da5f,no,
133,604f98b1a8ff6195bc26da41,no,
134,604fdefa5080c72c8450431b,yes," Essendon, Victoria, Australia"
135,604fe0435080c72c8450432f,no,
